question,context,answer
"What is Python?","Python is a high-level programming language created by Guido van Rossum.","Python"
"Who discovered gravity?","Isaac Newton formulated the law of gravity in the 17th century.","Isaac Newton"
"What is AI?","AI stands for Artificial Intelligence, which allows machines to mimic human intelligence.","Artificial Intelligence"
"What is the capital of France?","France is a country in Europe. Its capital city is Paris.","Paris"
"Who wrote Hamlet?","Hamlet is a famous play written by William Shakespeare.","William Shakespeare"
"What is machine learning?","Machine learning is a subset of AI that allows systems to learn from data.","Machine learning"
"When did the first man land on the moon?","Neil Armstrong was the first human to walk on the moon in 1969.","Neil Armstrong"
"What is the largest planet?","Jupiter is the largest planet in our solar system.","Jupiter"
"What is the boiling point of water?","Water boils at 100 degrees Celsius at standard atmospheric pressure.","100 degrees Celsius"
"What is the fastest land animal?","The cheetah is the fastest land animal, capable of reaching speeds up to 120 km/h.","Cheetah"
"Who invented the telephone?","Alexander Graham Bell is credited with inventing the first practical telephone.","Alexander Graham Bell"
"What is the chemical symbol for gold?","Gold has the chemical symbol Au.","Au"
"Who painted the Mona Lisa?","The Mona Lisa was painted by Leonardo da Vinci.","Leonardo da Vinci"
"What is the smallest prime number?","The smallest prime number is 2.","2"
"What is the longest river in the world?","The Nile River is considered the longest river in the world.","Nile"
"Who developed the theory of relativity?","Albert Einstein developed the theory of relativity.","Albert Einstein"
"What is the hardest natural substance?","Diamond is the hardest naturally occurring substance on Earth.","Diamond"
"Which planet is known as the Red Planet?","Mars is known as the Red Planet because of its reddish appearance.","Mars"
"What is the main gas in the Earth's atmosphere?","Nitrogen is the most abundant gas in Earth's atmosphere.","Nitrogen"
"Who wrote '1984'?","George Orwell wrote the novel '1984'.","George Orwell"
"What is the speed of light?","The speed of light in a vacuum is approximately 299,792 kilometers per second.","299,792 km/s"
"What is the human body's largest organ?","The skin is the largest organ of the human body.","Skin"
"Who is known as the father of computers?","Charles Babbage is known as the father of computers.","Charles Babbage"
"What is the formula for water?","The chemical formula for water is H2O.","H2O"
"What is the square root of 64?","The square root of 64 is 8.","8"
"Who discovered penicillin?","Alexander Fleming discovered penicillin in 1928.","Alexander Fleming"
"What is the tallest mountain in the world?","Mount Everest is the tallest mountain in the world.","Mount Everest"
"Which element has the atomic number 1?","Hydrogen has the atomic number 1.","Hydrogen"
"What is photosynthesis?","Photosynthesis is the process by which green plants make food using sunlight, carbon dioxide, and water.","Photosynthesis"
"Who is the author of Harry Potter?","J.K. Rowling is the author of the Harry Potter series.","J.K. Rowling"
"What is the currency of Japan?","The currency of Japan is the Japanese Yen.","Japanese Yen"
"Who painted Starry Night?","Vincent van Gogh painted Starry Night.","Vincent van Gogh"
"What is the chemical symbol for oxygen?","Oxygen has the chemical symbol O.","O"
"Which planet is closest to the Sun?","Mercury is the closest planet to the Sun.","Mercury"
"What is the largest ocean?","The Pacific Ocean is the largest ocean on Earth.","Pacific Ocean"
"Who invented the light bulb?","Thomas Edison is credited with inventing the practical incandescent light bulb.","Thomas Edison"
"What is the freezing point of water?","Water freezes at 0 degrees Celsius at standard atmospheric pressure.","0 degrees Celsius"
"Who is the founder of Microsoft?","Bill Gates is the founder of Microsoft.","Bill Gates"
"What is the main ingredient in bread?","Flour is the main ingredient in bread.","Flour"
"Which gas do humans breathe in?","Humans breathe in oxygen from the air.","Oxygen"
"Who was the first President of the United States?","George Washington was the first President of the United States.","George Washington"
"What is the smallest continent?","Australia is the smallest continent by land area.","Australia"
"Who wrote 'Pride and Prejudice'?","Jane Austen wrote 'Pride and Prejudice'.","Jane Austen"
"What is the largest mammal?","The blue whale is the largest mammal on Earth.","Blue whale"
"Which planet has rings?","Saturn is famous for its prominent ring system.","Saturn"
"What is the chemical formula for carbon dioxide?","Carbon dioxide has the chemical formula CO2.","CO2"
"Who invented the airplane?","The Wright brothers, Orville and Wilbur Wright, invented the first successful airplane.","Wright brothers"
"What is the capital of Italy?","The capital of Italy is Rome.","Rome"
"Which is the hottest planet?","Venus is the hottest planet in our solar system due to its thick atmosphere.","Venus"
"What is the main organ for digestion?","The stomach is the main organ for digestion in humans.","Stomach"
"Who wrote 'The Odyssey'?","Homer wrote 'The Odyssey'.","Homer"
"What is the chemical symbol for iron?","Iron has the chemical symbol Fe.","Fe"
"Who discovered electricity?","Benjamin Franklin conducted experiments that contributed to the understanding of electricity.","Benjamin Franklin"
"What is the distance light travels in one year called?","The distance light travels in one year is called a light-year.","Light-year"
"What is the speed of sound in air?","The speed of sound in air at 20°C is approximately 343 meters per second.","343 m/s"
"Who composed the Four Seasons?","Antonio Vivaldi composed The Four Seasons.","Antonio Vivaldi"
"What is the largest desert?","The Sahara Desert is the largest hot desert in the world.","Sahara Desert"
"Which gas is essential for respiration?","Oxygen is essential for respiration in humans.","Oxygen"
"Who painted The Last Supper?","Leonardo da Vinci painted The Last Supper.","Leonardo da Vinci"
"What is the currency of the USA?","The currency of the United States is the US Dollar.","US Dollar"
"What is the tallest building in the world?","Burj Khalifa in Dubai is the tallest building in the world.","Burj Khalifa"
"Who is known as the father of modern physics?","Albert Einstein is considered the father of modern physics.","Albert Einstein"
"What is the main component of the sun?","The sun is primarily composed of hydrogen and helium.","Hydrogen"
"What is the freezing point of nitrogen?","Nitrogen freezes at −210 degrees Celsius.","−210 degrees Celsius"
"Which planet is known as the Earth’s twin?","Venus is often called Earth's twin because of its similar size and composition.","Venus"
"Who invented the radio?","Guglielmo Marconi is credited with inventing the radio.","Guglielmo Marconi"
"What is the largest island?","Greenland is the largest island in the world.","Greenland"
"Who discovered America?","Christopher Columbus is credited with discovering the Americas in 1492.","Christopher Columbus"
"What is the fastest bird?","The peregrine falcon is the fastest bird, reaching speeds over 320 km/h during dives.","Peregrine falcon"
"Who formulated the laws of motion?","Isaac Newton formulated the three laws of motion.","Isaac Newton"
"What is the smallest planet?","Mercury is the smallest planet in our solar system.","Mercury"
"Who is the founder of Facebook?","Mark Zuckerberg is the founder of Facebook.","Mark Zuckerberg"
"What is the chemical formula for salt?","The chemical formula for salt (sodium chloride) is NaCl.","NaCl"
"Which country is known as the Land of the Rising Sun?","Japan is known as the Land of the Rising Sun.","Japan"
"Who is known as the father of geometry?","Euclid is known as the father of geometry.","Euclid"
"What is the largest volcano?","Mauna Loa in Hawaii is the largest volcano on Earth.","Mauna Loa"
"Who wrote 'Macbeth'?","William Shakespeare wrote 'Macbeth'.","William Shakespeare"
"Which planet is known for its Great Red Spot?","Jupiter is known for the Great Red Spot.","Jupiter"
"What is the chemical symbol for silver?","Silver has the chemical symbol Ag.","Ag"
"What is the main gas in the human body?","Nitrogen is the most abundant gas in the human body by volume.","Nitrogen"
"Who discovered radioactivity?","Henri Becquerel discovered radioactivity.","Henri Becquerel"
"Which ocean is the smallest?","The Arctic Ocean is the smallest ocean on Earth.","Arctic Ocean"
"Who wrote 'To Kill a Mockingbird'?","Harper Lee wrote 'To Kill a Mockingbird'.","Harper Lee"
"What is the largest species of shark?","The whale shark is the largest species of shark.","Whale shark"
"What is the chemical symbol for potassium?","Potassium has the chemical symbol K.","K"
"Who invented the printing press?","Johannes Gutenberg invented the printing press.","Johannes Gutenberg"
"Which planet is known for its rings?","Saturn is known for its rings.","Saturn"
"What is the hardest rock?","Diamond is the hardest natural rock substance.","Diamond"
"What is the largest city by population?","Tokyo is the largest city in the world by population.","Tokyo"
"Who discovered oxygen?","Carl Wilhelm Scheele and Joseph Priestley discovered oxygen.","Carl Wilhelm Scheele"
"What is the formula for table sugar?","Table sugar has the chemical formula C12H22O11.","C12H22O11"
"Which animal is known as the King of the Jungle?","The lion is known as the King of the Jungle.","Lion"
"What is the largest land animal?","The African elephant is the largest land animal.","African elephant"
